contract,expiryDate,optionType,strikePrice,lastPrice,change,pChange,openPrice,highPrice,lowPrice,closePrice,volume,totalTurnover,value,premiumTurnOver,underlyingValue,openInterest,noOfTrades,datetime
NIFTY 05-May-2026,05-May-2026,Call,24000,300.9,-120.85,-28.65,396.0,464.9,254.2,296.0,6189235,1874966850.9,1874966850.9,150416606850.9,24062.4,18386.0,95219,2026-04-27 09:00:56.652756+05:30
NIFTY 05-May-2026,05-May-2026,Put,24000,331.7,92.5,38.67,236.8,396.0,200.2,336.6,6044025,1952461836.0,1952461836.0,147009061836.0,24062.4,18329.0,92985,2026-04-27 09:00:56.652756+05:30
NIFTY 05-May-2026,05-May-2026,Put,23000,58.75,19.0,47.8,44.0,73.3,31.85,60.0,5359055,291532592.0,291532592.0,123549797592.0,24062.4,30083.0,82447,2026-04-27 09:00:56.652756+05:30
NIFTY 05-May-2026,05-May-2026,Call,24500,117.0,-62.8,-34.93,173.15,196.0,97.2,113.7,5246930,624751955.1,624751955.1,129174536955.1,24062.4,25467.0,80722,2026-04-27 09:00:56.652756+05:30
NIFTY 05-May-2026,05-May-2026,Call,25000,37.2,-20.55,-35.58,48.0,59.95,30.6,35.35,5046015,188922801.6,188922801.6,126339297801.6,24062.4,28488.0,77631,2026-04-27 09:00:56.652756+05:30
NIFTY 05-May-2026,05-May-2026,Call,26000,2.4,-1.3,-35.14,3.3,3.4,2.15,2.4,3913390,9666073.3,9666073.3,101757806073.3,24062.4,35933.0,60206,2026-04-27 09:00:56.652756+05:30
NIFTY 05-May-2026,05-May-2026,Call,24200,214.0,-96.7,-31.12,308.45,340.75,177.2,209.85,3854175,861176862.0,861176862.0,94132211862.0,24062.4,15932.0,59295,2026-04-27 09:00:56.652756+05:30
NIFTY 05-May-2026,05-May-2026,Put,23900,286.6,83.8,41.32,210.0,343.55,171.0,290.8,3585985,1025914448.65,1025914448.65,86730955948.65,24062.4,11699.0,55169,2026-04-27 09:00:56.652756+05:30
NIFTY 05-May-2026,05-May-2026,Put,23500,148.85,47.45,46.79,95.45,180.1,82.15,150.25,3531450,502384077.0,502384077.0,83491459077.0,24062.4,12708.0,54330,2026-04-27 09:00:56.652756+05:30
NIFTY 05-May-2026,05-May-2026,Call,25500,10.25,-4.5,-30.51,14.9,14.9,8.35,9.8,3391245,32962901.4,32962901.4,86509710401.4,24062.4,24268.0,52173,2026-04-27 09:00:56.652756+05:30
NIFTY 05-May-2026,05-May-2026,Put,23800,243.6,70.9,41.05,168.0,295.0,142.75,248.4,3159260,766847179.8,766847179.8,75957235179.8,24062.4,8065.0,48604,2026-04-27 09:00:56.652756+05:30
NIFTY 05-May-2026,05-May-2026,Call,24800,59.75,-34.45,-36.57,75.0,100.75,49.3,57.7,3088800,188880120.0,188880120.0,76791120120.0,24062.4,12831.0,47520,2026-04-27 09:00:56.652756+05:30
