contract,expiryDate,optionType,strikePrice,lastPrice,change,pChange,openPrice,highPrice,lowPrice,closePrice,volume,totalTurnover,value,premiumTurnOver,underlyingValue,openInterest,noOfTrades,datetime
NIFTY 13-Apr-2026,13-Apr-2026,Call,23550,526.85,173.3,49.02,399.95,550.0,395.25,522.4,600665,281195313.1,281195313.1,14426856063.1,24050.6,1180.0,9241,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,20250,0.55,-0.5,-47.62,0.8,1.0,0.45,0.55,570440,313742.0,313742.0,11551723742.0,24050.6,1891.0,8776,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,20850,0.7,-0.7,-50.0,1.35,1.35,0.6,0.7,536120,439618.4,439618.4,11178541618.4,24050.6,1521.0,8248,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,20650,0.7,-0.55,-44.0,1.15,1.25,0.6,0.7,520065,400450.05,400450.05,10739742700.05,24050.6,1200.0,8001,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,20400,0.55,-0.55,-50.0,0.95,1.2,0.5,0.55,500045,335030.15,335030.15,10201253030.15,24050.6,2231.0,7693,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,26050,0.3,-0.35,-53.85,0.7,0.7,0.3,0.5,459030,215744.1,215744.1,11957947244.1,24050.6,1425.0,7062,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,23200,856.3,216.95,33.93,720.3,882.0,707.35,861.6,425035,336440704.6,336440704.6,10197252704.6,24050.6,11686.0,6539,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,25850,0.65,-0.15,-18.75,0.7,0.8,0.55,0.6,420940,269401.6,269401.6,10881568401.6,24050.6,2298.0,6476,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,25950,0.5,-0.25,-33.33,0.75,0.75,0.4,0.5,413725,231686.0,231686.0,10736395436.0,24050.6,2640.0,6365,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,20750,0.7,-0.65,-48.15,1.1,1.4,0.6,0.7,345930,280203.3,280203.3,7178327703.3,24050.6,1616.0,5322,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,24600,562.7,-241.45,-30.03,704.05,704.05,532.65,557.15,327795,197532544.95,197532544.95,8261289544.95,24050.6,991.0,5043,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,23300,763.15,212.8,38.67,573.35,790.0,530.0,766.95,325000,229479250.0,229479250.0,7801979250.0,24050.6,3018.0,5000,2026-04-11 10:09:51
