contract,expiryDate,optionType,strikePrice,lastPrice,change,pChange,openPrice,highPrice,lowPrice,closePrice,volume,totalTurnover,value,premiumTurnOver,underlyingValue,openInterest,noOfTrades,datetime
NIFTY 21-Jul-2026,21-Jul-2026,Call,24200,201.5,77.5,62.5,171.65,217.4,165.05,195.95,7461155,1465967734.4,1465967734.4,182025918734.4,24201,19000.0,114787,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Put,24200,166.55,-170.6,-50.6,235.5,240.0,160.1,172.85,6938555,1290085531.15,1290085531.15,169203116531.15,24201,19518.0,106747,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Call,24500,73.8,26.5,56.03,65.0,83.4,59.9,72.25,4922320,361298288.0,361298288.0,120958138288.0,24201,17912.0,75728,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Put,24000,97.45,-131.15,-57.37,160.05,161.85,92.6,100.3,4849585,544365916.25,544365916.25,116934405916.25,24201,25901.0,74609,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Call,24300,147.8,56.45,61.8,125.0,164.95,123.55,146.1,4289090,629981539.2,629981539.2,104854868539.2,24201,16846.0,65986,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Put,23800,56.15,-89.5,-61.45,86.5,90.6,52.5,57.1,3745625,239982193.75,239982193.75,89385857193.75,24201,15785.0,57625,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Call,24600,50.25,17.35,52.74,44.95,56.3,41.3,47.95,3644615,178659027.3,178659027.3,89836188027.3,24201,13849.0,56071,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Call,25000,9.15,0.65,7.65,10.0,10.85,7.75,9.05,3361475,31228102.75,31228102.75,84068103102.75,24201,18895.0,51715,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Put,23000,10.05,-11.9,-54.21,15.1,15.6,8.8,10.1,3298945,34572943.6,34572943.6,75910307943.6,24201,23199.0,50753,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Call,24400,107.35,41.2,62.28,85.35,119.1,85.35,104.6,3228290,341617647.8,341617647.8,79111893647.8,24201,11969.0,49666,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Put,23500,25.15,-44.95,-64.12,48.15,48.15,20.5,25.5,2975830,85763420.6,85763420.6,70017768420.6,24201,14221.0,45782,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Call,24800,20.8,4.8,30.0,18.05,24.3,17.6,19.8,2940665,60871765.5,60871765.5,72989363765.5,24201,13572.0,45241,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Put,24100,128.5,-154.35,-54.57,200.0,200.0,122.45,132.3,2929290,428408662.5,428408662.5,71024297662.5,24201,11400.0,45066,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Call,24700,33.45,10.55,46.07,30.0,37.0,27.05,30.85,2674815,85219605.9,85219605.9,66153150105.9,24201,11742.0,41151,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Put,23700,42.0,-73.3,-63.57,73.05,85.35,39.15,43.3,2399800,117254228.0,117254228.0,56992514228.0,24201,7664.0,36920,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Call,24100,260.25,97.35,59.76,216.9,279.0,193.0,257.0,2383160,598339981.2,598339981.2,58032495981.2,24201,7322.0,36664,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Put,23900,74.3,-110.1,-59.71,125.05,125.05,69.5,75.8,2266550,193631366.5,193631366.5,54364176366.5,24201,9106.0,34870,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Put,24300,214.3,-194.95,-47.64,309.25,309.25,201.0,222.35,2182050,518476900.5,518476900.5,53542291900.5,24201,8909.0,33570,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Call,24900,13.9,2.5,21.93,14.0,15.7,11.15,12.8,2097420,27623021.4,27623021.4,52253381021.4,24201,10885.0,32268,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Call,24000,329.65,122.1,58.83,262.0,348.9,262.0,323.5,2016170,638198451.8,638198451.8,49026278451.8,24201,10949.0,31018,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Put,23200,13.05,-20.55,-61.16,19.3,20.85,12.2,13.2,1951820,27637771.2,27637771.2,45309861771.2,24201,6493.0,30028,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Put,22500,4.65,-4.1,-46.86,5.95,6.5,4.65,5.35,1650090,8976489.6,8976489.6,37136001489.6,24201,13413.0,25386,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Put,23600,35.0,-56.1,-61.58,51.15,54.35,29.9,32.95,1632150,60601729.5,60601729.5,38579341729.5,24201,10171.0,25110,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Put,24150,146.6,-164.45,-52.87,221.0,221.0,141.4,151.7,1565070,260427648.0,260427648.0,38056868148.0,24201,4552.0,24078,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Put,23300,15.55,-26.2,-62.75,25.1,25.1,14.35,15.7,1530490,26630526.0,26630526.0,35687047526.0,24201,8512.0,23546,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Call,24250,174.35,67.0,62.41,148.0,190.05,144.25,171.05,1488695,253837384.45,253837384.45,36354691134.45,24201,4053.0,22903,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Put,23400,19.3,-35.65,-64.88,36.7,36.7,18.1,19.9,1442155,31914890.15,31914890.15,33778341890.15,24201,6803.0,22187,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Call,24150,231.9,88.8,62.05,200.05,246.55,193.9,225.1,1394055,309243220.65,309243220.65,33975671470.65,24201,3244.0,21447,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Put,23100,11.85,-14.85,-55.62,18.0,19.3,10.45,11.25,1346605,16091929.75,16091929.75,31122667429.75,24201,6171.0,20717,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Call,26000,1.1,-0.25,-18.52,1.35,1.4,1.1,1.15,1221220,1514312.8,1514312.8,31753234312.8,24201,13139.0,18788,2026-07-13 09:01:48.659643+05:30
NIFTY 21-Jul-2026,21-Jul-2026,Call,24350,128.15,49.6,63.14,97.8,141.2,97.8,124.45,1207895,150793611.8,150793611.8,29563036861.8,24201,3613.0,18583,2026-07-13 09:01:48.659643+05:30
